event_id,date,start_time,end_time,type,location,animal_location,initiator,victim,winner,loser,intervenor,observer,other_notes,datetime_start,datetime_end,duration,ts_start,ts_end,group_id_initiator,group_id_victim,group_id_winner,group_id_loser,group_id_intervenor,event_A2A,event_B2B,event_A2B,event_B2A,event_ingroup,success,epoch,merge_day,food_epoch,relative_time,player_pair_set,pre_winner,pre_loser,pre_event_interval
8,2024-06-13,18:10:57.0,18:11:00.0,FM,left,,rat006,,,,,,"SL, turf, left bottom conner",2024-06-13 18:10:57,2024-06-13 18:11:00,3.0,1718316657000000000,1718316660000000000,A,,,,,,,,,,,1.0,-6,1.0,451.0,"[NaN, ""rat006""]",,,
9,2024-06-13,18:11:04.0,18:11:17.0,FM,left,,rat006,,,,,,"NL, turf, left top conner",2024-06-13 18:11:04,2024-06-13 18:11:17,13.0,1718316664000000000,1718316677000000000,A,,,,,,,,,,,1.0,-6,1.0,468.0,"[NaN, ""rat006""]",,,
10,2024-06-13,18:11:16.0,18:11:29.0,FM,left,,rat005,,,,,,"NL, carefresh",2024-06-13 18:11:16,2024-06-13 18:11:29,13.0,1718316676000000000,1718316689000000000,A,,,,,,,,,,,1.0,-6,1.0,480.0,"[NaN, ""rat005""]",,,
46,2024-06-13,18:11:21.0,18:11:41.0,FM,right,,rat035,,,,,,"SL, IR tube",2024-06-13 18:11:21,2024-06-13 18:11:41,20.0,1718316681000000000,1718316701000000000,B,,,,,,,,,,,1.0,-6,2.0,448.0,"[NaN, ""rat035""]",,,0.0
11,2024-06-13,18:11:25.0,18:11:29.0,FM,left,,rat006,,,,,,"SL, turf, left bottom conner; straigtforwad, run very quick",2024-06-13 18:11:25,2024-06-13 18:11:29,4.0,1718316685000000000,1718316689000000000,A,,,,,,,,,,,1.0,-6,1.0,480.0,"[NaN, ""rat006""]",,,
12,2024-06-13,18:11:29.0,18:11:48.0,FM,left,,rat007,,,,,,"NL, turf, left bottom conner",2024-06-13 18:11:29,2024-06-13 18:11:48,19.0,1718316689000000000,1718316708000000000,A,,,,,,,,,,,1.0,-6,1.0,499.0,"[NaN, ""rat007""]",,,
47,2024-06-13,18:11:46.0,18:11:53.0,FM,right,,rat032,,,,,,"SL, turf, near IR tube wall",2024-06-13 18:11:46,2024-06-13 18:11:53,7.0,1718316706000000000,1718316713000000000,B,,,,,,,,,,,1.0,-6,2.0,460.0,"[NaN, ""rat032""]",,,-395.0
13,2024-06-13,18:12:10.0,18:12:51.0,FM,left,,rat007,,,,,,"NL, corncob",2024-06-13 18:12:10,2024-06-13 18:12:51,41.0,1718316730000000000,1718316771000000000,A,,,,,,,,,,,1.0,-6,1.0,562.0,"[NaN, ""rat007""]",,,
14,2024-06-13,18:12:12.0,18:12:18.0,FM,left,,rat004,,,,,,"NL, turf, near corcob cage",2024-06-13 18:12:12,2024-06-13 18:12:18,6.0,1718316732000000000,1718316738000000000,A,,,,,,,,,,,1.0,-6,1.0,529.0,"[NaN, ""rat004""]",,,
15,2024-06-13,18:12:40.0,18:13:10.0,FM,left,,rat006,,,,,,"NL, carefresh",2024-06-13 18:12:40,2024-06-13 18:13:10,30.0,1718316760000000000,1718316790000000000,A,,,,,,,,,,,1.0,-6,1.0,581.0,"[NaN, ""rat006""]",,,
48,2024-06-13,18:13:58.0,18:14:12.0,FM,right,,rat032,,,,,,"NL, corncob",2024-06-13 18:13:58,2024-06-13 18:14:12,14.0,1718316838000000000,1718316852000000000,B,,,,,,,,,,,1.0,-6,2.0,599.0,"[NaN, ""rat032""]",,,-263.0
16,2024-06-13,18:14:07.0,18:14:27.0,FM,left,,rat003,,,,,,"NL, turf, near IR tube entrance",2024-06-13 18:14:07,2024-06-13 18:14:27,20.0,1718316847000000000,1718316867000000000,A,,,,,,,,,,,1.0,-6,1.0,658.0,"[NaN, ""rat003""]",,,
17,2024-06-13,18:15:38.0,18:15:53.0,FM,left,,rat005,,,,,,"NL, turf, near carefresh",2024-06-13 18:15:38,2024-06-13 18:15:53,15.0,1718316938000000000,1718316953000000000,A,,,,,,,,,,,1.0,-6,1.0,744.0,"[NaN, ""rat005""]",,,
18,2024-06-13,18:16:52.0,18:16:57.0,R,left,,rat010,rat006,rat006,rat010,,,"rat010 just pass by, not succeed, rat006 protect food",2024-06-13 18:16:52,2024-06-13 18:16:57,5.0,1718317012000000000,1718317017000000000,A,A,A,A,,True,,,,True,False,1.0,-6,1.0,808.0,"[""rat006"", ""rat010""]",,,
19,2024-06-13,18:16:57.0,18:17:02.0,FM,left,,rat010,,,,,,"NL, turf, near carefresh",2024-06-13 18:16:57,2024-06-13 18:17:02,5.0,1718317017000000000,1718317022000000000,A,,,,,,,,,,,1.0,-6,1.0,813.0,"[NaN, ""rat010""]",,,
20,2024-06-13,18:17:08.0,18:17:16.0,FM,left,,rat010,,,,,,"NL, turf, near empty cage",2024-06-13 18:17:08,2024-06-13 18:17:16,8.0,1718317028000000000,1718317036000000000,A,,,,,,,,,,,1.0,-6,1.0,827.0,"[NaN, ""rat010""]",,,
21,2024-06-13,18:17:55.0,18:18:05.0,FM,left,,rat004,,,,,,"SL, turf, near corcob cage",2024-06-13 18:17:55,2024-06-13 18:18:05,10.0,1718317075000000000,1718317085000000000,A,,,,,,,,,,,1.0,-6,1.0,876.0,"[NaN, ""rat004""]",,,466.0
49,2024-06-13,18:18:18.0,18:18:21.0,R,right,,rat032,rat034,,,,,,2024-06-13 18:18:18,2024-06-13 18:18:21,3.0,1718317098000000000,1718317101000000000,B,B,,,,,True,,,True,,1.0,-6,2.0,848.0,"[""rat032"", ""rat034""]",rat032,rat034,0.0
50,2024-06-13,18:18:21.0,18:18:25.0,FM,right,,rat032,,,,,,"SL, corncob",2024-06-13 18:18:21,2024-06-13 18:18:25,4.0,1718317101000000000,1718317105000000000,B,,,,,,,,,,,1.0,-6,2.0,852.0,"[NaN, ""rat032""]",,,0.0
22,2024-06-13,18:19:13.0,18:19:20.0,FM,left,,rat006,,,,,,"SL, turf, left top conner",2024-06-13 18:19:13,2024-06-13 18:19:20,7.0,1718317153000000000,1718317160000000000,A,,,,,,,,,,,1.0,-6,1.0,951.0,"[NaN, ""rat006""]",,,508.0
24,2024-06-13,18:19:24.0,18:19:43.0,FM,left,,rat006,,,,,,"NL, turf, near soil cage, look for cache location for a long time, travel around",2024-06-13 18:19:24,2024-06-13 18:19:43,19.0,1718317164000000000,1718317183000000000,A,,,,,,,,,,,1.0,-6,1.0,974.0,"[NaN, ""rat006""]",,,500.0
23,2024-06-13,18:19:28.0,18:20:00.0,FM,left,,rat005,,,,,,"NL, on empty cage",2024-06-13 18:19:28,2024-06-13 18:20:00,32.0,1718317168000000000,1718317200000000000,A,,,,,,,,,,,1.0,-6,1.0,991.0,"[NaN, ""rat005""]",,,
25,2024-06-13,18:20:08.0,18:20:15.0,R,left,,rat010,rat005,rat005,rat010,,,"rat003 and rat 005 eating back to back, rat010 try to rob rat005's food, 005 run away",2024-06-13 18:20:08,2024-06-13 18:20:15,7.0,1718317208000000000,1718317215000000000,A,A,A,A,,True,,,,True,False,1.0,-6,1.0,1006.0,"[""rat005"", ""rat010""]",,,
51,2024-06-13,18:21:08.0,18:21:31.0,FM,right,,rat034,,,,,,"NL, turf, near soil cage",2024-06-13 18:21:08,2024-06-13 18:21:31,23.0,1718317268000000000,1718317291000000000,B,,,,,,,,,,,1.0,-6,2.0,1038.0,"[NaN, ""rat034""]",,,0.0
26,2024-06-13,18:21:18.0,18:21:44.0,FM,left,,rat004,,,,,,"NL, carefresh",2024-06-13 18:21:18,2024-06-13 18:21:44,26.0,1718317278000000000,1718317304000000000,A,,,,,,,,,,,1.0,-6,1.0,1095.0,"[NaN, ""rat004""]",,,669.0
27,2024-06-13,18:21:27.0,18:21:35.0,R,left,,rat007,rat004,rat004,rat007,,,several attempts,2024-06-13 18:21:27,2024-06-13 18:21:35,8.0,1718317287000000000,1718317295000000000,A,A,A,A,,True,,,,True,False,1.0,-6,1.0,1086.0,"[""rat007"", ""rat004""]",,,
28,2024-06-13,18:21:55.0,18:21:58.0,R,left,,rat004,rat006,rat006,rat004,,,,2024-06-13 18:21:55,2024-06-13 18:21:58,3.0,1718317315000000000,1718317318000000000,A,A,A,A,,True,,,,True,False,1.0,-6,1.0,1109.0,"[""rat006"", ""rat004""]",,,
29,2024-06-13,18:23:51.0,18:24:34.0,FM,left,,rat005,,,,,,"NL, turf, near IR tube entrance",2024-06-13 18:23:51,2024-06-13 18:24:34,43.0,1718317431000000000,1718317474000000000,A,,,,,,,,,,,1.0,-6,1.0,1265.0,"[NaN, ""rat005""]",,,755.0
30,2024-06-13,18:24:41.0,18:24:46.0,FM,left,,rat004,,,,,,"SL, carefresh",2024-06-13 18:24:41,2024-06-13 18:24:46,5.0,1718317481000000000,1718317486000000000,A,,,,,,,,,,,1.0,-6,1.0,1277.0,"[NaN, ""rat004""]",,,872.0
31,2024-06-13,18:24:50.0,18:24:58.0,R,left,,rat006,rat007,rat007,rat006,,,,2024-06-13 18:24:50,2024-06-13 18:24:58,8.0,1718317490000000000,1718317498000000000,A,A,A,A,,True,,,,True,False,1.0,-6,1.0,1289.0,"[""rat007"", ""rat006""]",,,
52,2024-06-13,18:28:00.0,18:28:25.0,R,right,,rat031,rat030,rat030,rat031,,,"rat030 hide in a tunnel, rat031 try several attemps",2024-06-13 18:28:00,2024-06-13 18:28:25,25.0,1718317680000000000,1718317705000000000,B,B,B,B,,,True,,,True,False,1.0,-6,2.0,1452.0,"[""rat030"", ""rat031""]",,,
53,2024-06-15,10:01:56.0,10:02:17.0,FD,left,,,,,,,,,2024-06-15 10:01:56,2024-06-15 10:02:17,21.0,1718460116000000000,1718460137000000000,,,,,,,,,,,,,-4,3.0,21.0,[NaN],,,143863.0
81,2024-06-15,10:03:54.0,10:04:03.0,FD,right,,,,,,,,,2024-06-15 10:03:54,2024-06-15 10:04:03,9.0,1718460234000000000,1718460243000000000,,,,,,,,,,,,,-4,4.0,9.0,[NaN],,,0.0
54,2024-06-15,10:04:56.0,10:05:08.0,FM,left,,rat004,,,,,,rat004 put down a pellet and search for another,2024-06-15 10:04:56,2024-06-15 10:05:08,12.0,1718460296000000000,1718460308000000000,A,,,,,,,,,,,,-4,3.0,192.0,"[NaN, ""rat004""]",,,142815.0
55,2024-06-15,10:05:08.0,10:05:22.0,R,left,,rat004,rat003,rat003,rat004,,,"rat004 put down a pellet and search for another, when passing by 003, try to rob food, several attempts",2024-06-15 10:05:08,2024-06-15 10:05:22,14.0,1718460308000000000,1718460322000000000,A,A,A,A,,True,,,,True,False,,-4,3.0,206.0,"[""rat003"", ""rat004""]",,,
56,2024-06-15,10:05:22.0,10:05:32.0,R,left,,rat004,rat005,rat005,rat004,,,,2024-06-15 10:05:22,2024-06-15 10:05:32,10.0,1718460322000000000,1718460332000000000,A,A,A,A,,True,,,,True,False,,-4,3.0,216.0,"[""rat005"", ""rat004""]",,,
57,2024-06-15,10:05:32.0,10:05:50.0,FM,left,,rat004,,,,,,,2024-06-15 10:05:32,2024-06-15 10:05:50,18.0,1718460332000000000,1718460350000000000,A,,,,,,,,,,,,-4,3.0,234.0,"[NaN, ""rat004""]",,,36.0
