clip,timestamp,rat003_center_x,rat003_center_y,rat004_center_x,rat004_center_y,rat005_center_x,rat005_center_y,rat006_center_x,rat006_center_y,rat007_center_x,rat007_center_y,rat010_center_x,rat010_center_y,rat030_center_x,rat030_center_y,rat031_center_x,rat031_center_y,rat032_center_x,rat032_center_y,rat033_center_x,rat033_center_y,rat034_center_x,rat034_center_y,rat035_center_x,rat035_center_y
C1,1718890982967243744,1852,447,1570,420,1226,899,2097,679,1899,752,1236,961,376,721,388,479,278,241,131,223,1148,144,472,74
C1,1718890983067243592,1869,446,1575,418,1224,899,2087,692,1898,754,1237,960,376,723,392,481,276,243,132,224,1146,145,465,79
C1,1718890983167243632,1886,446,1580,419,1222,900,2083,706,1899,759,1236,960,376,726,392,481,272,248,129,226,1146,149,459,86
C1,1718890983267243496,1902,446,1585,420,1215,903,2078,718,1904,768,1234,960,376,726,393,482,270,252,133,232,1139,152,459,88
C1,1718890983367243440,1915,445,1591,426,1208,906,2075,728,1910,783,1234,963,376,728,393,483,271,261,131,229,1135,150,461,90
C1,1718890983467243344,1932,446,1590,430,1205,904,2070,743,1912,791,1233,964,375,725,395,484,280,280,129,229,1135,151,461,94
C1,1718890983567243328,1939,448,1590,431,1201,903,2061,760,1919,806,1227,968,370,724,394,484,289,297,130,229,1128,145,460,96
C1,1718890983667243176,1944,448,1595,430,1200,903,2059,767,1920,810,1220,975,367,723,395,483,301,312,126,227,1128,148,460,99
C1,1718890983767243152,1948,448,1600,428,1202,902,2057,780,1918,810,1220,976,366,725,393,480,313,334,126,228,1131,148,458,98
C1,1718890983867243144,1951,448,1611,421,1207,900,2055,794,1916,812,1212,985,366,725,391,477,323,353,124,226,1138,151,456,98
C1,1718890983967243024,1949,448,1620,418,1218,896,2055,810,1918,816,1206,989,366,725,390,476,332,366,127,228,1138,152,453,100
C1,1718890984067242936,1948,448,1643,418,1224,893,2058,830,1922,817,1201,988,365,726,389,473,357,388,129,228,1140,154,452,103
C1,1718890984167242864,1946,447,1668,413,1231,893,2063,845,1923,815,1203,990,365,726,390,473,376,401,124,224,1142,155,451,103
C1,1718890984267242880,1947,447,1693,412,1230,899,2072,868,1923,814,1203,988,365,726,386,471,396,412,120,220,1143,155,451,99
C1,1718890984367242760,1945,446,1720,417,1229,897,2076,874,1923,815,1200,989,365,723,372,460,402,417,120,218,1143,155,452,97
C1,1718890984467242672,1945,446,1741,421,1229,904,2081,886,1926,816,1197,992,366,726,364,456,421,423,120,218,1144,155,454,98
C1,1718890984567242584,1945,445,1757,432,1239,913,2082,894,1929,818,1203,988,365,729,359,441,430,426,122,218,1144,155,454,100
C1,1718890984667242560,1945,444,1776,445,1247,923,2081,898,1929,817,1198,990,364,736,356,440,434,431,124,219,1144,155,454,101
C1,1718890984767242488,1947,444,1790,450,1250,922,2083,906,1929,817,1199,990,365,741,352,440,436,434,123,218,1144,155,454,101
C1,1718890984867242352,1948,444,1801,457,1250,924,2083,905,1928,816,1197,990,364,741,337,428,437,434,117,211,1144,155,453,102
C1,1718890984967242368,1949,444,1809,463,1247,932,2083,906,1928,816,1196,989,363,744,326,414,437,434,120,214,1144,156,453,102
C1,1718890985067242328,1950,445,1819,472,1248,924,2083,906,1929,818,1198,987,362,747,317,401,440,434,119,212,1143,156,453,100
C1,1718890985167242192,1949,445,1834,479,1247,921,2082,910,1929,818,1201,987,360,749,309,385,442,436,123,214,1143,155,452,101
C1,1718890985267242104,1949,446,1837,481,1262,924,2077,914,1927,815,1204,985,361,752,303,367,445,437,121,199,1142,156,454,98
C1,1718890985367242056,1949,446,1837,481,1299,942,2072,923,1924,816,1209,984,362,754,294,351,452,434,130,215,1143,157,459,94
C1,1718890985467241960,1949,446,1841,482,1338,937,2057,933,1922,815,1226,957,366,757,290,347,468,432,128,206,1143,156,462,94
C1,1718890985567241936,1949,446,1844,482,1387,933,2038,934,1922,814,1236,953,369,756,283,333,479,428,128,210,1145,154,466,100
C1,1718890985667241872,1950,446,1848,483,1413,935,2009,936,1920,812,1277,940,369,755,283,324,492,425,128,213,1145,151,471,113
C1,1718890985767241848,1950,447,1853,483,1439,936,1996,939,1916,808,1300,944,369,759,279,316,515,420,129,214,1143,151,478,131
C1,1718890985867241736,1950,447,1857,484,1474,934,1978,940,1914,808,1345,939,369,762,276,311,533,420,129,214,1139,156,481,139
C1,1718890985967241752,1950,447,1857,484,1505,939,1971,937,1913,808,1361,940,369,762,273,309,556,417,129,214,1138,157,482,140
